Number of Records,Address,Business Id,Categories,Cuisines,City_Old,City,Is Open,Latitude,Longitude,name,Neighborhood,Postal Code,Votes,rating,State
1,51 Colborne Street,__bqGGnOjtY9eEhrZAUsgA,"Restaurants, Thai",Thai,Toronto,Toronto,0,43.6490322,-79.3748387,Galangal Thai Fusion,St. Lawrence,M5E 1R9,20,3,ON
1,7705 South Tryon St,__eb2f_wEBrEl0xCyLqDeQ,"Mexican, Restaurants",Mexican,Charlotte,Charlotte,0,35.148102,-80.92483,Mr. Taco,Starmount,28263,7,3,NC
1,3574 Garrison Gate SW,__FMn1EYdwuKcOl18mTjPA,"Restaurants, Italian",Italian,Calgary,Calgary,0,51.0223503,-114.1140823,San Remo Ristorante,,T2T 6N1,7,3,AB
1,4723 Rue Saint -Denis,__S1Mhl6Lve4IbK3p4E19Q,"Thai, Chinese, Restaurants",Thai,Montréal,Montréal,1,45.5253347,-73.5855829,Chez Sen,Plateau-Mont-Royal,H2J 2L5,6,4,QC
1,890 Butler St,__sXvAzVGUsK6AyzT19v6g,"Caterers, Pizza, Specialty Food, Italian, Event Planning & Services, Food, Pasta Shops, Restaurants",Italian,Pittsburgh,Pittsburgh,1,40.5109999,-79.9462827,Pizza & Pasta Villa,,15223,9,2,PA
1,7171 E Cave Creek Rd,__zA29wBG0LleSxMzNHpwQ,"Gluten-Free, Italian, Restaurants",Italian,Cave Creek,Cave Creek,1,33.827597,-111.924478,Alberto Ristorante Italiano,,85331,96,4,AZ
1,"Westgate City Center, 6770 N Hockey Way",_-cPPLRqL18W7AnuEv7yZw,"Restaurants, Thai",Thai,Glendale,Glendale,0,33.53624373,-112.1855164,Motu's Tahitian Noni Island Grill,,85305,3,3.5,AZ
1,106 N Statesville Rd,_-FkDma7ozwx7-sYA3wAvQ,"Fast Food, Food, Tex-Mex, Restaurants, Mexican",Mexican,Huntersville,Huntersville,1,35.411622,-80.85526,Taco Bell,,28078,20,2.5,NC
1,109 McCaul St,_-mGxo3NxooLN7DQWlvTYA,"Indian, Restaurants",Indian,Toronto,Toronto,0,43.6537457,-79.3910348,Fiesta India,Downtown Core,M5T 3K5,3,2.5,ON
1,750 Rue de l'Eglise,_-u3js_j6WHkRZ416gBeog,"French, Bistros, Italian, Restaurants, Seafood",Italian,Verdun,Verdun,1,45.4629621,-73.5730338,Bistro Entre Ciel et Terre,Verdun,H4G 2M8,24,4,QC
1,105 W Southline,_1f5jDSeOZu6N0D4tUBt0A,"Bars, Restaurants, Mexican, Nightlife, New Mexican Cuisine",Mexican,Tuscola,Tuscola,1,39.79135606,-88.28861726,Sol Del Mar,,61953,3,4,IL
1,6447 North Royalton Rd,_2iPJy_nNDkez2jSqa40xg,"Mexican, Restaurants, Fast Food, Tex-Mex",Mexican,North Royalton,North Royalton,1,41.313575,-81.731203,Taco Bell,,44133,4,2.5,OH
1,6131 W Lake Mead Blvd,_2Wbpm821bdNsh-gyqufrg,"Fast Food, Restaurants, Mexican",Mexican,Las Vegas,Las Vegas,1,36.1953261,-115.2250414,El Pollo Loco,,89108,26,2,NV
1,6465 E Southern Ave,_3o05Wdjfc8jOvGZ_q177Q,"Mexican, Restaurants",Mexican,Mesa,Mesa,0,33.3935671,-111.6895637,Mi Amigo's Mexican Grill,,85206,53,2.5,AZ
1,"3414 W Union Hills Dr, Ste 5",_4n7K_UdRSEMw4vJdsU9jQ,"Pizza, Restaurants, Italian",Italian,Phoenix,Phoenix,1,33.6556552,-112.1326821,Ray's Pizza,,85027,47,3.5,AZ
1,6758 Kingston Road,_4noxz6NM0gBeVhZ58Emtg,"Restaurants, Bakeries, Italian, Desserts, Food",Italian,Scarborough,Scarborough,1,43.7986012,-79.1480184,Lamanna's Bakery,Scarborough,M1B 1G8,171,4,ON
